,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
9762,4.99,5196.0,2021-01-13,5222,Female,Sold
9766,87.5,214521.0,2022-01-22,5224,Male,Sold
9767,1.22,264.0,2020-05-18,5225,Male,Sold
9770,4.8,5108.0,2021-01-05,5226,Male,Sold
9777,34.34,89435.0,2021-08-01,5227,Male,Sold
9783,0.0,0.0,2021-08-02,5228,Male,Sold
9791,47.0,118156.0,2021-08-04,5229,Male,Sold
9793,0.8,177.0,2018-10-04,5230,Male,Sold
9797,67.95,221573.0,2022-01-14,5231,Male,Sold
9800,149.99,483644.0,2021-08-28,5233,Male,Sold
9801,350.0,545814.0,2021-03-04,5234,Zombie,Sold
9806,14.5,37607.0,2021-06-10,5237,Male,Sold
9809,25.0,42760.0,2021-03-23,5238,Male,Sold
9811,27.0,84788.0,2021-05-03,5239,Male,Sold
9812,0.25,340.0,2018-01-14,5240,Male,Sold
9817,45.0,120167.0,2021-08-04,5241,Male,Sold
9821,63.0,244034.0,2021-12-14,5243,Female,Sold
9825,55.0,134441.0,2021-07-31,5246,Male,Sold
9828,10.27,17935.0,2021-02-17,5247,Male,Sold
9829,0.13,59.0,2017-12-05,5249,Male,Sold
9831,5.88,7535.0,2021-01-26,5252,Male,Sold
9843,71.0,172144.0,2022-01-25,5254,Female,Sold
9848,79.0,218766.0,2022-01-21,5260,Male,Sold
9850,36.0,76485.0,2021-04-18,5262,Male,Sold
9851,76.76,185341.0,2022-01-25,5265,Female,Sold
9854,125.0,439851.0,2021-10-07,5266,Female,Sold
9855,30.0,48292.0,2021-03-03,5267,Female,Sold
9857,89.9,294147.0,2021-09-13,5268,Male,Sold
9860,56.5,166913.0,2021-08-09,5269,Male,Sold
9865,25.99,79426.0,2021-05-03,5271,Female,Sold
9871,77.14,258314.0,2021-08-23,5272,Male,Sold
9876,27.22,74598.0,2021-04-29,5273,Male,Sold
9887,87.0,278074.0,2021-08-25,5275,Male,Sold
9889,2.0,407.0,2020-05-24,5276,Male,Sold
9890,0.4,82.0,2017-07-10,5277,Female,Sold
9902,65.0,266824.0,2021-12-24,5279,Female,Sold
9906,17.0,34430.0,2021-02-20,5280,Male,Sold
9907,0.31,353.0,2018-01-11,5282,Female,Sold
9908,9.5,16241.0,2021-02-15,5283,Male,Sold
9913,2.1,801.0,2020-09-20,5285,Female,Sold
9917,14.25,26846.0,2021-02-18,5286,Male,Sold
9931,7.89,13475.0,2021-02-08,5287,Male,Sold
9935,19.0,36141.0,2021-02-18,5288,Male,Sold
9936,0.15,152.0,2018-01-18,5289,Male,Sold
9937,0.95,186.0,2020-04-28,5291,Female,Sold
9939,22.0,55728.0,2021-04-15,5293,Female,Sold
9943,26.5,62040.0,2021-06-17,5295,Female,Sold
9946,90.0,284583.0,2021-08-27,5296,Male,Sold
9948,0.39,105.0,2017-07-04,5297,Male,Sold
9950,13.98,34747.0,2021-06-08,5301,Female,Sold
9951,0.3,59.0,2017-07-14,5302,Female,Sold
9953,17.5,32414.0,2021-03-10,5305,Male,Sold
9956,2.0,420.0,2020-05-20,5306,Male,Sold
9958,0.2,234.0,2018-01-29,5307,Female,Sold
9961,13.0,17135.0,2021-01-28,5308,Male,Sold
9964,24.75,50920.0,2021-04-08,5309,Male,Sold
9965,0.09,42.0,2017-12-04,5311,Male,Sold
9969,55.55,145655.0,2021-08-01,5313,Male,Sold
9971,140.0,54978.0,2020-09-17,5314,Ape,Sold
9974,129.95,604521.0,2021-11-13,5315,Male,Sold
9975,0.05,30.0,2018-06-01,5318,Male,Sold
9976,0.25,45.0,2019-10-25,5319,Male,Sold
9979,1.11,182.0,2020-01-16,5320,Male,Sold
9983,6.0,2181.0,2020-09-28,5321,Female,Sold
9989,23.0,33688.0,2021-02-27,5322,Male,Sold
9994,64.99,259307.0,2021-12-19,5323,Female,Sold
9996,1.1,256.0,2020-07-17,5324,Male,Sold
9999,25.0,39119.0,2021-02-23,5325,Male,Sold
10000,18.5,32909.0,2021-03-11,5329,Male,Sold
10001,0.18,54.0,2017-06-29,5330,Female,Sold
10003,0.98,141.0,2020-01-12,5332,Female,Sold
10007,70.0,286431.0,2021-12-04,5333,Female,Sold
10011,18.99,40431.0,2021-07-01,5334,Male,Sold
10012,20.25,33945.0,2021-03-24,5337,Male,Sold
10015,26.88,65638.0,2021-07-30,5338,Male,Sold
10016,27.99,51958.0,2021-03-14,5339,Female,Sold
10021,17.75,37347.0,2021-07-01,5340,Female,Sold
10022,24.55,45372.0,2021-03-14,5342,Male,Sold
10026,55.0,184401.0,2021-08-23,5343,Female,Sold
10027,0.23,71.0,2017-10-30,5344,Male,Sold
10032,74.95,291644.0,2021-12-04,5346,Male,Sold
10034,99.5,277444.0,2021-08-05,5347,Female,Sold
10037,24.99,45035.0,2021-07-20,5348,Female,Sold
10038,21.5,50975.0,2021-04-21,5349,Male,Sold
10040,125.0,345879.0,2021-08-05,5350,Male,Sold
10044,24.4,59131.0,2021-04-15,5352,Male,Sold
10045,0.13,55.0,2017-12-06,5353,Male,Sold
10056,0.0,0.0,2021-07-30,5354,Female,Sold
10057,0.29,65.0,2017-08-03,5356,Male,Sold
10060,18.7,72797.0,2021-05-11,5357,Male,Sold
10062,68.88,164445.0,2022-01-22,5358,Female,Sold
10063,41.0,69394.0,2021-03-27,5360,Male,Sold
10064,125.0,521319.0,2021-12-09,5361,Female,Sold
10065,139.75,611433.0,2021-10-29,5362,Male,Sold
10066,80.0,193982.0,2022-01-25,5363,Male,Sold
10069,16.19,31722.0,2021-02-21,5364,Male,Sold
10070,0.41,94.0,2017-07-23,5365,Male,Sold
10079,15.0,31064.0,2021-04-05,5366,Male,Sold
10082,4.94,3175.0,2020-12-26,5367,Male,Sold
10083,18.4,34913.0,2021-02-18,5370,Male,Sold
10086,129.5,410209.0,2021-08-29,5371,Male,Sold
10089,76.42,187773.0,2021-07-31,5372,Female,Sold
10090,99.0,329140.0,2021-08-23,5373,Female,Sold
10094,21.7,84138.0,2021-05-09,5374,Male,Sold
10096,165.0,526739.0,2021-08-29,5375,Male,Sold
10100,62.0,194392.0,2022-01-20,5380,Male,Sold
10101,0.7,131.0,2019-08-27,5382,Male,Sold
10103,165.0,536905.0,2021-08-28,5383,Female,Sold
10106,60.0,200005.0,2021-08-23,5384,Female,Sold
10109,84.0,404961.0,2021-11-10,5385,Female,Sold
10112,50.0,157153.0,2021-08-19,5387,Male,Sold
10117,98.99,401155.0,2021-12-25,5389,Female,Sold
10119,7.97,11412.0,2021-01-25,5390,Male,Sold
10122,0.13,39.0,2017-10-31,5391,Female,Sold
10129,73.4,322545.0,2021-12-08,5392,Male,Sold
10132,123.45,400720.0,2021-08-28,5393,Male,Sold
10133,16.5,34666.0,2021-04-06,5394,Male,Sold
10137,20.5,41186.0,2021-07-22,5395,Male,Sold
10138,0.1,27.0,2018-08-22,5396,Male,Sold
10143,55.0,140191.0,2021-07-31,5397,Male,Sold
10147,1.61,612.0,2020-08-26,5398,Female,Sold
10151,23.49,42034.0,2021-03-18,5399,Male,Sold
10157,72.69,320154.0,2021-12-07,5400,Male,Sold
10162,167.0,547757.0,2021-08-21,5402,Male,Sold
10170,128.0,574248.0,2021-11-06,5404,Male,Sold
10172,1.25,266.0,2020-05-09,5406,Male,Sold
10173,0.33,92.0,2017-07-03,5408,Male,Sold
10174,39.99,73540.0,2021-03-09,5409,Female,Sold
10180,165.2,530216.0,2021-08-25,5411,Male,Sold
10181,38.0,17542.0,2020-11-16,5412,Zombie,Sold
10182,35.0,47869.0,2021-02-28,5413,Female,Sold
10183,0.15,57.0,2018-04-04,5414,Female,Sold
10190,20.0,65898.0,2021-05-05,5416,Male,Sold
10191,18.0,72752.0,2021-05-11,5418,Male,Sold
10192,56.0,181397.0,2021-08-13,5419,Female,Sold
10194,24.65,49886.0,2021-02-20,5420,Male,Sold
10196,0.8,134.0,2020-01-20,5421,Male,Sold
10199,190.0,630483.0,2021-10-01,5422,Male,Sold
10200,0.14,111.0,2017-12-21,5424,Male,Sold
10201,0.15,46.0,2017-08-11,5425,Male,Sold
